id,poliza,monto,antiguedad,siniestros_previos,pago_alto
117,POL-2026-0117,16155538,17,1,1
118,POL-2026-0118,4253984,24,1,0
119,POL-2026-0119,15457318,21,4,1
120,POL-2026-0120,17218655,22,2,0
121,POL-2026-0121,10283581,15,2,1
122,POL-2026-0122,16632620,22,0,0
123,POL-2026-0123,2255699,5,0,0
124,POL-2026-0124,9756390,20,1,0
125,POL-2026-0125,11993640,11,2,1
126,POL-2026-0126,14654581,20,0,0
127,POL-2026-0127,12129338,7,0,1
128,POL-2026-0128,19930925,9,1,1
129,POL-2026-0129,4282540,14,4,1
130,POL-2026-0130,8243848,5,1,1
131,POL-2026-0131,15502212,22,0,1
132,POL-2026-0132,8951840,4,0,1
133,POL-2026-0133,8556547,21,1,0
134,POL-2026-0134,12463901,7,0,1
135,POL-2026-0135,13067104,16,3,1
136,POL-2026-0136,19374276,9,1,1
137,POL-2026-0137,10750110,2,2,1
138,POL-2026-0138,13359242,14,2,1
139,POL-2026-0139,4556798,20,1,0
140,POL-2026-0140,15746617,13,0,0
141,POL-2026-0141,8390638,0,0,1
142,POL-2026-0142,704638,11,1,0
143,POL-2026-0143,14315729,6,0,1
144,POL-2026-0144,12832667,14,1,0
145,POL-2026-0145,6958399,6,2,1
146,POL-2026-0146,6906635,12,1,0
147,POL-2026-0147,16560059,22,1,1
148,POL-2026-0148,14589485,5,0,0
149,POL-2026-0149,19019548,13,1,1
150,POL-2026-0150,1824131,6,0,0
151,POL-2026-0151,19445058,8,2,1
152,POL-2026-0152,13954066,8,1,1
153,POL-2026-0153,3765369,3,1,0
154,POL-2026-0154,12494098,4,0,1
155,POL-2026-0155,8578074,23,2,0
156,POL-2026-0156,5619320,17,1,0
157,POL-2026-0157,8440822,24,1,1
158,POL-2026-0158,16835421,15,2,1
159,POL-2026-0159,6018047,22,1,0
160,POL-2026-0160,9169852,8,0,1
161,POL-2026-0161,887297,7,1,0
162,POL-2026-0162,12330644,20,1,1
163,POL-2026-0163,4711121,5,1,0
164,POL-2026-0164,13316195,7,0,1
165,POL-2026-0165,17206222,1,1,1
166,POL-2026-0166,16660166,11,2,1
167,POL-2026-0167,7674899,20,0,0
168,POL-2026-0168,19443863,19,2,1
169,POL-2026-0169,19747025,18,0,0
170,POL-2026-0170,14370158,17,1,1
171,POL-2026-0171,8891398,5,1,1
172,POL-2026-0172,19431638,2,2,1
173,POL-2026-0173,10295472,18,2,0
174,POL-2026-0174,16440399,12,3,1
175,POL-2026-0175,1862677,12,0,0
176,POL-2026-0176,15385729,12,0,0
177,POL-2026-0177,9820432,17,3,1
178,POL-2026-0178,8105627,23,1,0
179,POL-2026-0179,5454030,5,1,1
180,POL-2026-0180,15367818,4,1,1
181,POL-2026-0181,16065026,21,2,1
182,POL-2026-0182,19795388,24,1,1
183,POL-2026-0183,11760701,7,1,1
184,POL-2026-0184,9652454,23,0,1
185,POL-2026-0185,19414527,5,1,1
186,POL-2026-0186,19366624,14,0,0
187,POL-2026-0187,16246028,22,0,1
188,POL-2026-0188,6399862,15,0,0
189,POL-2026-0189,8411807,16,1,0
190,POL-2026-0190,2767419,7,1,0
191,POL-2026-0191,13346590,15,1,1
192,POL-2026-0192,5530584,5,2,1
193,POL-2026-0193,12233697,5,2,1
194,POL-2026-0194,19761042,5,0,1
195,POL-2026-0195,7111033,6,3,1
196,POL-2026-0196,10010079,4,1,1
197,POL-2026-0197,6440290,2,0,0
198,POL-2026-0198,10040836,17,4,1
199,POL-2026-0199,2789219,16,0,0
200,POL-2026-0200,12750569,21,1,0
201,POL-2026-0201,8295203,14,0,0
202,POL-2026-0202,2554060,11,2,0
203,POL-2026-0203,8037281,13,1,0
204,POL-2026-0204,15708945,18,0,0
205,POL-2026-0205,5269821,20,1,0
206,POL-2026-0206,15033259,6,1,1
207,POL-2026-0207,17794210,24,0,1
208,POL-2026-0208,11263760,23,1,0
209,POL-2026-0209,16854965,5,1,1
210,POL-2026-0210,18285965,23,3,1
211,POL-2026-0211,1923622,23,1,0
212,POL-2026-0212,5296467,22,1,0
213,POL-2026-0213,19526401,2,1,1
214,POL-2026-0214,9074175,0,0,1
215,POL-2026-0215,18529224,22,0,1
216,POL-2026-0216,17095698,16,0,0
217,POL-2026-0217,2319272,15,2,1
218,POL-2026-0218,9614136,4,1,0
219,POL-2026-0219,17812185,9,1,1
220,POL-2026-0220,4551290,18,0,0
221,POL-2026-0221,16225194,3,0,1
222,POL-2026-0222,15795293,22,1,0
223,POL-2026-0223,10168273,1,0,0
224,POL-2026-0224,15159457,9,1,1
225,POL-2026-0225,9745893,12,0,0
226,POL-2026-0226,604833,4,0,0
227,POL-2026-0227,15529704,16,0,1
228,POL-2026-0228,19132179,24,2,1
229,POL-2026-0229,7197052,18,0,0
230,POL-2026-0230,9896569,10,1,0
231,POL-2026-0231,1314682,7,3,0
232,POL-2026-0232,16800309,4,1,1
233,POL-2026-0233,2073639,14,2,0
234,POL-2026-0234,17099508,7,0,1
235,POL-2026-0235,12205434,24,2,0
236,POL-2026-0236,5669910,17,0,0
237,POL-2026-0237,5466025,22,2,0
238,POL-2026-0238,847996,15,2,0
239,POL-2026-0239,10794841,10,3,1
240,POL-2026-0240,2033762,21,2,1
241,POL-2026-0241,14843383,1,2,1
242,POL-2026-0242,11086398,5,0,0
243,POL-2026-0243,13689676,17,1,1
244,POL-2026-0244,8031863,12,0,0
245,POL-2026-0245,15666236,14,1,1
246,POL-2026-0246,6040012,4,4,1
247,POL-2026-0247,14251591,19,0,0
248,POL-2026-0248,688288,12,4,1
249,POL-2026-0249,19360056,11,0,1
250,POL-2026-0250,14942635,11,0,1
251,POL-2026-0251,9802252,5,0,1
252,POL-2026-0252,12310909,13,3,1
253,POL-2026-0253,15773576,0,2,1
254,POL-2026-0254,2148366,24,0,0
255,POL-2026-0255,10491573,17,0,0
256,POL-2026-0256,12818690,6,2,1
257,POL-2026-0257,16641928,19,1,1
258,POL-2026-0258,2585539,10,0,1
259,POL-2026-0259,6363090,3,0,1
260,POL-2026-0260,19241294,1,0,1
261,POL-2026-0261,7037378,20,2,0
262,POL-2026-0262,7306761,19,1,1
263,POL-2026-0263,14550093,9,0,1
264,POL-2026-0264,4646991,19,1,0
265,POL-2026-0265,2312425,3,0,0
266,POL-2026-0266,13124998,18,2,1
267,POL-2026-0267,572675,3,2,1
268,POL-2026-0268,19252776,22,1,1
269,POL-2026-0269,16261844,13,2,1
270,POL-2026-0270,3541794,1,1,1
271,POL-2026-0271,2346604,9,0,0
272,POL-2026-0272,1571827,12,1,1
273,POL-2026-0273,12390307,9,1,0
274,POL-2026-0274,18625199,5,2,1
275,POL-2026-0275,9203160,11,0,0
276,POL-2026-0276,17619756,11,0,0
277,POL-2026-0277,5133827,16,2,1
278,POL-2026-0278,5285718,10,0,0
279,POL-2026-0279,11402048,3,1,1
280,POL-2026-0280,18991047,1,1,1
281,POL-2026-0281,5257443,9,2,1
282,POL-2026-0282,19927036,13,1,1
283,POL-2026-0283,15302819,10,1,1
284,POL-2026-0284,14480996,20,2,1
285,POL-2026-0285,7016106,1,2,1
286,POL-2026-0286,15612166,1,1,1
287,POL-2026-0287,9177058,21,1,1
288,POL-2026-0288,7047582,15,1,1
289,POL-2026-0289,8539866,15,3,1
290,POL-2026-0290,14149015,0,0,1
291,POL-2026-0291,11641822,24,1,1
292,POL-2026-0292,4768184,16,0,0
293,POL-2026-0293,5691496,17,1,0
294,POL-2026-0294,19477602,20,2,1
295,POL-2026-0295,6480312,20,0,0
296,POL-2026-0296,19527562,12,0,0
297,POL-2026-0297,13648115,22,0,0
298,POL-2026-0298,7479581,22,3,1
299,POL-2026-0299,19660820,12,1,1
300,POL-2026-0300,13377550,24,4,1
301,POL-2026-0301,16802735,7,1,1
302,POL-2026-0302,18517156,18,1,1
303,POL-2026-0303,8073914,5,0,0
304,POL-2026-0304,5260148,7,2,1
305,POL-2026-0305,9473508,0,1,1
306,POL-2026-0306,4150527,0,1,0
307,POL-2026-0307,18350411,10,0,0
308,POL-2026-0308,1962983,13,3,0
309,POL-2026-0309,18556140,2,0,1
310,POL-2026-0310,13724493,22,3,1
311,POL-2026-0311,12266976,22,1,0
312,POL-2026-0312,1601383,16,1,0
313,POL-2026-0313,14801762,17,2,1
314,POL-2026-0314,9241532,21,1,0
315,POL-2026-0315,5177684,22,2,0
316,POL-2026-0316,14154322,2,0,0
317,POL-2026-0317,18005991,4,2,1
318,POL-2026-0318,15748720,19,1,1
319,POL-2026-0319,3009692,5,0,0
320,POL-2026-0320,19118506,10,0,1
321,POL-2026-0321,3103138,3,0,0
322,POL-2026-0322,1996306,3,1,1
323,POL-2026-0323,12044884,16,1,1
324,POL-2026-0324,14553283,0,0,1
325,POL-2026-0325,2499736,7,2,0
326,POL-2026-0326,6859054,20,1,0
327,POL-2026-0327,8409705,22,4,1
328,POL-2026-0328,14014668,12,1,1
329,POL-2026-0329,10486158,16,2,1
330,POL-2026-0330,7879261,13,0,0
331,POL-2026-0331,5851297,18,0,0
332,POL-2026-0332,12283492,6,1,1
333,POL-2026-0333,10967784,2,0,1
334,POL-2026-0334,10442070,10,2,0
335,POL-2026-0335,18005102,3,0,0
336,POL-2026-0336,838790,1,1,1
337,POL-2026-0337,2869359,11,1,0
338,POL-2026-0338,17139418,17,1,0
339,POL-2026-0339,4060847,17,0,0
340,POL-2026-0340,16131215,4,1,1
341,POL-2026-0341,14310222,0,3,1
342,POL-2026-0342,11183797,14,1,1
343,POL-2026-0343,10515769,4,2,1
344,POL-2026-0344,7762936,14,2,0
345,POL-2026-0345,1103318,7,3,0
346,POL-2026-0346,2618245,2,3,1
347,POL-2026-0347,10005281,11,1,0
348,POL-2026-0348,17918114,8,3,1
349,POL-2026-0349,8351647,22,1,0
350,POL-2026-0350,15805652,22,1,0
351,POL-2026-0351,8847847,15,0,0
352,POL-2026-0352,18285844,15,0,1
353,POL-2026-0353,551474,21,0,0
354,POL-2026-0354,16521421,9,0,1
355,POL-2026-0355,1246250,0,2,0
356,POL-2026-0356,7423044,11,1,0
357,POL-2026-0357,11240274,15,2,1
358,POL-2026-0358,18494587,2,2,1
359,POL-2026-0359,19231662,14,0,1
360,POL-2026-0360,4233884,1,0,0
361,POL-2026-0361,17929117,3,0,1
362,POL-2026-0362,13084528,5,2,1
363,POL-2026-0363,19351464,2,1,1
364,POL-2026-0364,19343176,16,1,1
365,POL-2026-0365,4922572,4,3,0
366,POL-2026-0366,10005644,8,1,1
367,POL-2026-0367,18340935,17,1,1
368,POL-2026-0368,19143572,2,1,1
369,POL-2026-0369,2196887,11,3,0
370,POL-2026-0370,9412194,12,2,0
371,POL-2026-0371,3432179,9,0,0
372,POL-2026-0372,4254425,6,1,0
373,POL-2026-0373,3331103,18,0,0
374,POL-2026-0374,711788,14,0,0
375,POL-2026-0375,9468145,0,2,1
376,POL-2026-0376,19182968,8,2,1
377,POL-2026-0377,6813246,20,0,0
378,POL-2026-0378,11957387,22,1,0
379,POL-2026-0379,17440516,19,0,1
380,POL-2026-0380,4138631,5,1,0
381,POL-2026-0381,6757514,4,2,1
382,POL-2026-0382,18676360,11,1,1
383,POL-2026-0383,14934088,4,2,1
384,POL-2026-0384,18327925,3,1,1
385,POL-2026-0385,12338404,13,0,0
386,POL-2026-0386,4387621,16,0,0
387,POL-2026-0387,18652428,17,1,1
388,POL-2026-0388,16453086,4,3,1
389,POL-2026-0389,9213166,18,0,0
390,POL-2026-0390,5135752,14,0,0
391,POL-2026-0391,18978739,6,1,1
392,POL-2026-0392,17896270,14,2,1
393,POL-2026-0393,2187298,3,1,0
394,POL-2026-0394,16393382,9,1,1
395,POL-2026-0395,6266117,10,2,0
396,POL-2026-0396,13241657,10,3,1
397,POL-2026-0397,10147686,1,3,1
398,POL-2026-0398,12674589,8,0,1
399,POL-2026-0399,9910742,8,0,0
400,POL-2026-0400,3463092,24,2,0
